1996,"9","You're Makin' Me High","Toni Braxton".mp3
1997,"1","Candle In the Wind 1997","Elton John".mp3
1997,"1","Something About The Way You Look Tonight","Elton John".mp3
1997,"10","Wannabe","Spice Girls".mp3
1997,"2","Foolish Games","Jewel".mp3
1997,"2","You Were Meant For Me","Jewel".mp3
1997,"3","I'll Be Missing You","Puff Daddy ft. Faith Evans and 112".mp3
1997,"4","Un-Break My Heart","Toni Braxton".mp3
1997,"5","Can't Nobody Hold Me Down","Puff Daddy ft. Mase".mp3
1997,"6","I Believe I Can Fly","R. Kelly".mp3
1997,"7","Don't Let Go (Love)","En Vogue".mp3
1997,"8","Return of the Mack","Mark Morrison".mp3
1997,"9","How Do I Live","LeAnn Rimes".mp3
1998,"1","Too Close","Next".mp3
1998,"10","I Don't Want To Wait","Paula Cole".mp3
1998,"2","The Boy Is Mine","Brandy & Monica".mp3
1998,"3","You're Still The One","Shania Twain".mp3
1998,"4","Truly Madly Deeply","Savage Garden".mp3
1998,"5","How Do I Live","LeAnn Rimes".mp3
1998,"6","Together Again","Janet".mp3
1998,"7","All My Life","K-Ci & Jojo".mp3
1998,"8","Candle In the Wind 1997","Elton John".mp3
1998,"9","Nice & Slow","Usher".mp3
1999,"1","Believe","Cher".mp3
1999,"10","Livin' la Vida Loca","Ricky Martin".mp3
1999,"2","No Scrubs","TLC".mp3
1999,"3","Angel Of Mine","Monica".mp3
1999,"4","Heartbreak Hotel","Whitney Houston ft Faith Evans and Kelly Price".mp3
1999,"5","Baby One More Time","Britney Spears'.mp3
1999,"6","Kiss Me","Sixpence None the Richer".mp3
1999,"7","Genie in a Bottle","Christina Aguilera".mp3
1999,"8","Every Morning","Sugar Ray".mp3
1999,"9","Nobody's Supposed To Be Here","Deborah Cox".mp3
2000,"1","Breathe","Faith Hill".mp3
2000,"10","He Wasn't Man Enough","Toni Braxton".mp3
2000,"2","Smooth","Santana ft. Rob Thomas".mp3
2000,"3","Maria Maria","Santana ft. The Product G&B".mp3
2000,"4","I Wanna Know","Joe".m4a
2000,"5","Everything You Want","Vertical Horizon".m4a
2000,"6","Say My Name","Destiny's Child".mp3
2000,"7","I Knew I Loved You","Savage Garden".mp3
2000,"8","Amazed","Lonestar".mp3
2000,"9","Bent","Matchbox Twenty".mp3
2001,"1","Hanging By A Moment","Lifehouse".mp3
2001,"10","Independent Women","Destiny's Child".mp3
2001,"2","Fallin'","Alicia Keys".mp3
2001,"3","All For You (Video Single Mix)","Janet".mp3
2001,"4","Drops Of Jupiter (Tell Me),"Train'.mp3
2001,"5","I'm Real","Jennifer Lopez ft. Ja Rule".mp3
2001,"6","If You're Gone","Matchbox Twenty".mp3
2001,"7","Let Me Blow Ya Mind"."Eve ft. Gwen Stefani".mp3
2001,"8","Thank You","Dido".mp3
2001,"9","Again","Lenny Kravitz".mp3
2002,"1","How You Remind Me","NickelBack".mp3
2002,"10","Blurry","Puddle of Mudd".mp3
2002,"2","Foolish","Ashanti".mp3
2002,"3","Hot In Herre","Nelly".mp3
2002,"4","Dilemma","Nelly ft. Kelly Rowland".mp3
2002,"5","Wherever You Will Go","The Calling".mp3
2002,"6","A Thousand Miles","Vanessa Carlton".mp3
2002,"7","In The End","Linkin Park".mp3
2002,"8","What's Luv?","Fat Joe ft. Ashanti".mp3
2002,"9","U Got It Bad","Usher".mp3
2003,"1","In Da Club","50 Cent".mp3
2003,"10","Bring Me To Life","Evanescence" .mp3
2003,"2","Ignition","R. Kelly".mp3
2003,"3","Get Busy","Sean Paul".mp3
2003,"4","Crazy In Love","Beyoncé ft. Jay Z".mp3
2003,"5","When I'm Gone","3 Doors Down".mp3
2003,"6","Unwell","Matchbox Twenty".mp3
2003,"7","Right Thurr","Chingy".m4a
2003,"8","Miss You","Aaliyah".mp3
2003,"9","Picture","Kid Rock ft. Sheryl Crow".mp3
2004,"1","Yeah!","Usher Featuring Lil Jon & Ludacris".mp3
2004,"10","Lean Back","Terror Squad".mp3
2004,"2","Burn","Usher".mp3
2004,"3","If I Ain't Got You","Alicia Keys".mp3
2004,"4","This Love","Maroon 5".mp3
2004,"5","The Way You Move","Outkast ft. Sleepy Brown".mp3
2004,"6","The Reason","Hoobastank".mp3
2004,"7","I Don't Wanna Know","Mario Winans ft. Enya and P.Diddy".mp3
2004,"8","Hey Ya!","Outkast".mp3
2004,"9","Goodies","Ciara ft. Petey Pablo".mp3
2005,"1","We Belong Together","Mariah Carey".mp3
2005,"10","Behind These Hazel Eyes","Kelly Clarkson".mp3
2005,"2","Hollaback Girl","Gwen Stefani".mp3
2005,"3","Let Me Love You","Mario".mp3
2005,"4","Since U Been Gone","Kelly Clarkson".mp3
2005,"5","1,2 Step","Ciara ft. Missy Elliott".m4a
