Filename	Segment	WC	Analytic	Clout	Authentic	Tone	WPS	Sixltr	Dic	function	pronoun	ppron	i	we	you	shehe	they	ipron	article	prep	auxverb	adverb	conj	negate	verb	adj	compare	interrog	number	quant	affect	posemo	negemo	anx	anger	sad	social	family	friend	female	male	cogproc	insight	cause	discrep	tentat	certain	differ	percept	see	hear	feel	bio	body	health	sexual	ingest	drives	affiliation	achieve	power	reward	risk	focuspast	focuspresent	focusfuture	relativ	motion	space	time	work	leisure	home	money	relig	death	informal	swear	netspeak	assent	nonflu	filler	AllPunc	Period	Comma	Colon	SemiC	QMark	Exclam	Dash	Quote	Apostro	Parenth	OtherP
"Ed Sheeran, X (Deluxe Edition), Thinking Out Loud.txt"	1	314	24.29	95.1	96.44	99	104.67	7.01	95.22	55.1	20.38	19.11	9.24	3.5	6.05	0	0.32	1.27	4.78	10.83	7.96	9.55	6.37	1.59	15.92	2.23	1.91	3.18	1.91	1.59	8.28	7.96	0.32	0	0	0	18.79	1.59	1.27	0	0	13.06	5.1	1.59	1.59	2.55	1.59	0.96	4.46	1.27	0.96	1.27	8.92	5.41	0	0	0.32	12.42	8.92	0.64	1.91	0.96	0	2.87	9.55	2.87	18.15	1.91	11.15	5.1	0.32	0.32	0.32	0	0.32	0	1.59	0	0	0	1.27	0	13.38	0	6.69	0	0	0.64	0	0	0	6.05	0	0
"Ellie Goulding, Delirium (Deluxe), Heal.txt"	1	394	1	73.72	83.75	96.08	394	3.55	97.97	62.69	30.96	22.59	10.66	0	11.93	0	0	8.38	4.82	5.33	15.99	5.08	5.84	7.87	33.25	1.52	0	1.27	2.28	2.28	9.9	7.36	2.54	0	0	2.03	17.77	2.03	0.25	0	0	13.96	5.84	1.27	0.76	1.02	1.27	4.82	6.09	3.3	0.51	2.03	8.88	1.52	4.82	0	0	4.31	2.79	1.27	0	0.25	0.76	5.33	24.62	1.78	6.35	1.27	2.54	2.54	0	0	0	0.25	0	0	0.51	0	0	0	0.51	0	18.53	0	6.09	0	0	0	0	0.76	0	11.68	0	0
"Ellie Goulding, Delirium (Deluxe), Love Me Like You Do - From ""Fifty Shades Of Grey"".txt"	1	346	10.76	98.21	65.62	98.68	49.43	4.62	96.53	70.81	32.37	29.48	13.29	0.29	15.9	0	0	2.89	3.76	15.9	18.5	2.89	1.16	2.6	23.41	2.6	10.4	2.02	0	1.45	6.94	6.36	0.58	0.29	0	0	21.97	0	0	0	0	5.49	1.45	0.87	0.58	0	1.45	1.16	6.94	2.31	0	4.34	7.51	0.87	0.87	0	0	6.94	6.07	0	0.29	0.58	0	1.45	19.08	0.87	8.09	0.58	3.76	3.76	0	0	0	0	0.58	0	1.45	0	0	0.87	0.29	0	16.76	0	8.67	0	0	2.02	0	0	0	6.07	0	0
"Fall Out Boy, American Beauty American Psycho, Centuries.txt"	1	335	37.98	82.27	98.07	3.28	335	16.72	92.54	54.63	20	17.91	9.25	2.09	6.57	0	0	2.09	2.99	14.63	10.45	3.88	6.87	1.19	23.88	1.49	0.9	0	1.19	4.48	2.99	0.3	2.69	0	0.3	0.3	14.33	0	0	0	0	17.31	5.67	0.6	1.49	4.18	3.28	3.28	2.39	0.9	0.3	1.19	1.19	0.9	0.3	0	0	6.27	2.09	0	2.09	1.19	0.9	8.66	11.04	4.18	16.72	3.58	5.67	7.46	0	0.6	0	0	0	0.3	7.16	0	2.39	0	1.19	0	8.36	0	2.99	0	0	0	0	0	0	5.37	0	0
"Fall Out Boy, American Beauty American Psycho, Favorite Record.txt"	1	296	19.04	99	90.07	99	296	13.18	94.26	60.81	27.36	25	6.42	6.08	12.5	0	0	2.36	1.69	14.53	4.73	5.74	9.46	1.69	27.03	3.72	0.68	2.7	0	1.01	8.11	7.77	0.34	0	0	0	26.01	0	0	0	0	10.81	2.03	4.39	0.68	0	2.03	1.69	2.03	0.34	1.35	0	1.35	0.68	0	0	0	13.85	12.16	0.34	0.68	1.01	0	11.82	16.22	0	19.26	11.49	3.04	4.73	0	6.76	0.68	0	0.68	0	0.34	0	0	0.34	0	0	15.2	0.34	11.49	0	0	0	0	0	0	3.38	0	0
"Fetty Wap, Fetty Wap (Deluxe), Trap Queen.txt"	1	594	41.8	65.08	63.46	25.77	74.25	8.25	86.36	51.68	21.21	19.02	11.45	1.85	2.02	2.86	0.84	2.19	6.4	10.77	7.24	5.56	5.39	1.18	14.98	1.85	1.18	2.53	1.85	0.34	3.03	1.52	1.52	0	1.18	0.34	16.5	3.03	0	3.37	1.01	7.91	0.34	2.53	0.67	1.35	1.35	2.53	1.68	1.18	0.51	0	4.21	0.84	0.17	0.17	2.36	9.76	3.87	1.18	2.86	2.69	0	2.86	9.93	1.52	12.29	4.71	6.4	1.18	1.01	3.03	1.52	1.68	0	0	5.05	1.35	1.35	1.52	0.17	0	17.17	0.51	8.42	0	0	0.67	0	0.67	1.01	5.89	0	0
"Fetty Wap, Fetty Wap (Deluxe), Whateva (feat Monty).txt"	1	562	5.37	97.34	41.76	20.39	112.4	8.19	89.5	58.19	30.96	21.71	8.9	2.14	8.9	1.6	0.18	9.25	3.74	7.12	11.03	6.05	4.27	1.6	22.78	2.85	1.78	3.91	1.25	1.07	2.85	1.25	1.6	0.18	0.36	0	21.71	2.31	1.25	1.78	0.53	9.25	0.89	0.89	2.14	1.6	2.49	1.78	5.16	3.91	0.89	0.53	1.6	1.07	0	0.18	0.36	8.01	3.91	0.53	3.02	1.07	0	3.74	18.51	1.42	11.92	2.85	6.58	2.85	0.18	0.89	0.71	1.25	0.18	0	4.09	1.07	1.07	1.25	0.18	0	13.88	0	8.36	0	0	0.71	0	0	0.18	4.63	0	0
"Fifth Harmony, Reflection (Deluxe), Worth It.txt"	1	607	5.16	56.55	67.5	56.91	75.88	2.14	92.09	59.64	38.39	21.58	14.83	0	5.6	0.99	0.16	16.8	2.47	9.88	10.38	3.13	2.64	1.15	18.78	1.81	0.99	2.31	0	1.65	2.97	2.31	0.66	0.66	0	0	13.01	1.32	0	0.99	0	7.25	1.48	1.15	1.32	1.81	1.48	0.99	3.29	2.64	0.16	0.49	0.99	0	0	0	0	2.97	1.32	0	0.33	0.99	0.33	1.65	17.46	1.32	8.73	1.98	4.45	3.13	0	0.66	0	5.93	0	0	7.74	0	3.29	0.33	6.59	0	16.64	0	6.43	0	0	1.15	0	0	0	9.06	0	0
"Fifth Harmony, Refection (Deluxe), Body Rock.txt"	1	455	47.66	84.4	94.81	71.19	455	6.81	92.97	51.43	22.42	19.78	10.55	0.66	8.57	0	0	2.64	5.27	13.19	7.69	4.18	4.84	0.66	16.48	1.32	0.88	2.64	0	1.54	2.86	2.64	0.22	0.22	0	0.22	12.53	0.66	0	0	0	9.01	1.32	3.3	0	1.76	2.2	0.44	5.05	1.32	0	3.52	11.87	8.79	0.88	0	0	7.03	3.3	0	2.42	0.88	0.44	1.98	10.99	1.1	18.46	4.18	11.65	3.08	0	8.79	0	0	0	0	0.88	0	0	0	0.88	0	7.69	0	2.64	0	0	0	0	0	0	5.05	0	0
"Flo Rida, My House, GDFR (feat. Sage The Gemini & Lookas).txt"	1	403	40.63	62.65	94.81	8.17	201.5	5.96	82.88	54.34	25.81	12.9	7.2	0.25	4.96	0.25	0.25	12.9	3.23	16.13	9.18	3.72	3.72	0.74	23.33	2.73	1.49	1.49	0.74	0.99	2.98	0.74	2.23	1.24	0.25	0	8.19	0	0	1.74	0.25	4.22	1.74	0.74	0.99	0.74	0.25	1.24	3.72	1.74	0.25	1.74	2.23	0.74	0.74	0.25	0.25	9.68	0.99	0.25	6.45	2.23	0	2.23	15.14	5.96	21.84	9.43	9.68	2.73	0.25	0.74	0	0.5	0	0	1.99	0.99	0.74	0.25	0	0	15.14	1.24	5.21	0	0	0	0	0.74	0	7.94	0	0
"Flo Rida, My House, That's What I Like (feat. Fitz).txt"	1	410	3.94	84.72	84.43	98.82	21.58	1.95	94.15	60.98	34.63	25.61	15.37	0.24	9.76	0	0.24	9.02	4.39	9.27	10.73	7.8	3.41	2.2	23.9	2.44	2.44	5.85	1.22	0.98	9.27	7.56	1.71	0	0	0.24	18.54	0.49	0	0.24	0.24	3.9	0	1.95	0.49	0.24	0.73	0.73	3.17	0.98	1.71	0.49	0.24	0	0	0	0.24	5.37	0.73	1.22	1.22	1.95	0.73	2.68	21.95	0.49	11.46	3.17	5.61	2.93	0.49	0.98	0	0.24	0	0	7.07	0	0.49	1.46	0.98	0	29.76	0.98	17.56	0	0	0.24	3.9	0	0	7.07	0	0
"Galantis, Pharmacy, Kill 'Em With The Love.txt"	1	264	53.38	27.23	89.14	46.73	264	3.03	95.08	53.79	15.15	10.23	1.89	5.3	1.52	0	1.52	4.92	6.44	13.64	6.82	3.79	0.76	12.88	23.86	0.38	0	0	0	2.65	8.71	4.92	3.79	0	3.79	0	15.53	0	0	0	0	18.94	1.89	1.14	0	0	2.27	13.64	3.03	1.89	0.76	0	8.33	3.03	0	0	0.38	14.39	10.61	0.76	2.27	0.76	0	3.41	34.85	0	10.98	0	7.95	2.65	0.38	0	0.38	0	1.14	3.79	3.79	0	3.79	0	0	0	22.73	0	0.38	0	0	0	0	0	0	22.35	0	0
"Galantis, Pharmacy, Runaway (U & I).txt"	1	260	1	2.53	99	54.74	260	4.23	95.77	80.77	54.62	52.69	41.54	1.54	9.62	0	0	1.92	1.92	6.92	5.38	4.62	10.77	0	11.15	1.92	0.77	0.77	0.77	0.38	1.54	1.54	0	0	0	0	11.54	0	0	0	0	6.15	1.54	0	3.46	1.54	0.38	0.77	2.31	1.54	0	0.77	1.15	1.15	0	0	0	3.08	1.54	0.77	0.77	0	0	0	9.62	2.69	11.54	3.46	6.15	1.92	0	0	0	1.54	0	0.77	2.69	0	0	0	0	0	30.77	0	28.08	0	0	0	0	0	0	2.69	0	0
"George Ezra, Wanted On Voyage, Budapest.txt"	1	293	8.65	65.91	88.89	70.71	293	4.44	88.05	54.61	28.33	22.87	13.31	0	8.53	0	1.02	5.46	2.73	8.19	8.87	4.1	7.17	2.05	19.45	2.39	0	1.71	1.71	5.46	5.12	3.75	1.37	0.34	0	1.02	13.99	2.05	0.34	0	0	19.11	2.39	6.83	4.1	2.73	6.48	3.07	2.39	1.37	0.34	0.68	1.02	1.02	0	0	0	4.78	0.68	1.37	0.34	2.39	1.37	0	11.6	4.78	13.65	6.48	3.41	3.75	0.34	0.34	1.02	0.68	0	0	2.05	0	0	0	2.05	0	13.99	0	9.22	0	0	0	0	0	0	4.78	0	0
"George Ezra, Wanted On Voyage, It's Just My Skin.txt"	1	225	14.1	87.6	82.75	33.44	32.14	8	89.33	57.33	25.33	18.22	8.44	1.33	8	0.44	0	7.11	6.67	8.44	10.22	8.44	4.89	1.78	14.67	3.11	1.78	1.33	0.89	1.78	2.22	1.33	0.89	0	0	0.44	13.33	0	0	0	0.89	7.11	4	0.44	0	0.89	1.33	0.89	7.11	3.56	0.44	3.11	4.44	3.11	0	0	1.33	2.22	1.33	0	0	0.44	0.44	1.78	14.67	0.89	13.78	3.11	5.78	4.89	0	1.78	0.44	0	0.44	0.44	3.56	0	0	0	3.56	0	27.11	0.89	17.33	0	0	2.22	0	0	0.44	6.22	0	0
"Hozier, Hozier, Foreigner's God.txt"	1	230	96.9	65.23	4.59	1	230	18.7	88.26	48.26	10.87	8.26	5.22	0	0	3.04	0	2.61	15.65	12.61	4.35	2.17	3.04	2.17	11.3	4.35	1.74	1.3	0	2.61	11.74	3.04	8.7	0.43	0.87	2.17	13.04	0	0	3.04	0.43	11.74	2.17	1.3	0.87	3.04	4.35	1.74	9.13	1.3	6.09	1.74	4.35	1.74	0.43	0	1.74	9.13	0.43	0.87	6.52	0.87	0.43	3.48	6.96	0	5.65	0.87	2.17	2.61	0.43	1.74	0	0.43	5.65	1.74	0.43	0	0	0	0.43	0	7.39	0	0	0	0	0	0	0	0	7.39	0	0
"Hozier, Hozier, Take Me To Chuch.txt"	1	430	32.19	84.14	38.85	73.54	39.09	10.47	93.95	53.72	26.74	23.26	13.49	0.7	7.67	1.16	0.23	3.49	7.21	8.84	9.77	2.33	3.49	0.7	16.74	3.72	2.33	0.7	0	1.4	10.93	6.74	4.19	0	1.63	0.47	16.98	0	0.47	1.4	0.23	3.26	0.23	0	0.7	1.4	0.93	1.16	3.72	1.16	0.7	1.4	4.19	0.23	2.09	0.47	1.16	11.86	3.02	0.23	4.65	3.95	0	2.56	10.7	3.72	6.28	0.23	3.02	3.02	0.7	0	0.23	0	10.93	3.02	0.47	0	0	0	0.47	0	10	2.09	1.86	0	0	0.23	0	0.23	0	5.58	0	0
"Imagine Dragons, Night Visions (Deluxe), I Don't Mind.txt"	1	226	1	89.22	34.35	41.79	75.33	5.31	94.69	66.81	39.38	20.35	7.08	7.08	5.31	0	0.88	19.03	0.88	3.98	20.8	2.65	7.96	5.75	28.76	0.44	0.44	1.77	0	7.96	0.88	0.88	0	0	0	0	18.58	0.44	0.44	0.44	0	19.91	3.98	0.44	2.21	2.65	7.08	5.75	3.1	3.1	0	0	2.21	1.77	0	0.44	0	9.73	7.52	0	0	2.21	0	5.31	24.34	0	3.98	1.33	2.21	0.44	0	0	0	0.44	0	0	1.33	0	0	0	1.33	0	23.01	0	10.18	0	0	0.88	0	0	0	11.95	0	0
"Imagine Dragons, Night Visions (Deluxe), Radioactive.txt"	1	263	89.86	17.09	98.08	68.81	263	12.93	87.83	39.54	15.21	12.17	11.79	0.38	0	0	0	3.04	7.22	14.07	6.46	0	1.9	0.38	11.03	5.7	0	0	0	0.38	2.28	2.28	0	0	0	0	2.66	0	0	0	0	3.42	1.14	1.14	0	0.38	0.38	0.38	6.08	0.38	4.56	1.14	2.66	2.66	0	0	0	10.65	2.66	0	7.98	0	0	0.38	9.89	0.76	20.15	0.38	9.51	10.27	0	4.56	0	0	0	0.38	21.67	0	0	0	15.97	5.7	35.74	0	29.66	0	0	0	0	0	0	6.08	0	0
"James Bay, Chaos And The Calm (Deluxe Edition), Need the Sun to Break - The Dark of the Morning Version.txt"	1	224	13.85	8.33	94.05	59.59	112	4.91	89.73	47.32	22.32	21.43	17.41	0	4.02	0	0	0.89	4.02	7.14	12.5	5.8	3.12	3.12	25	4.02	0.45	0.45	0	3.57	7.14	4.46	2.68	1.79	0.45	0	5.8	0	0.45	0	0	19.2	2.23	1.79	7.59	4.46	3.12	3.12	2.68	1.34	0.45	0.45	2.68	2.23	0	0	0.45	5.36	0.45	0	2.68	1.79	0.45	6.7	17.86	3.12	15.18	2.68	4.02	7.59	0	0	0.45	0	0	0	7.59	0	0	0.45	7.14	0	29.91	0	12.95	0	0	0.45	0	6.7	0	9.82	0	0
"James Bay, Chaos And The Clam (Deluxe Edition), Hold Back The River.txt"	1	265	31.7	82.73	86.24	1.61	265	2.26	83.02	58.49	16.6	14.34	4.53	4.15	5.66	0	0	2.26	8.68	8.68	10.57	10.57	4.91	1.89	16.23	0.75	0.38	0.75	0.38	1.89	3.02	0	3.02	0	0	3.02	9.81	0	0	0	0	4.91	0.38	0	0.38	0	0.38	3.77	4.91	4.91	0	0	5.66	1.89	0.75	0	3.02	7.92	4.15	0.75	0	0.38	2.64	2.64	7.17	1.51	19.25	0.75	13.58	12.08	0	0.38	0	0	0	0	0	0	0	0	0	0	11.32	0	9.06	0	0	0	0	0	0	2.26	0	0
"Jason Derulo, Everything Is 4, Want To Want Me.txt"	1	394	10.16	48.98	52.13	25.77	197	6.35	95.94	67.01	26.4	24.62	15.23	0	9.39	0	0	1.78	5.08	13.71	10.66	8.38	6.09	5.58	25.13	5.33	0.25	0.25	2.03	0.25	0.51	0.25	0.25	0	0	0	13.2	0.51	0	3.05	0	12.69	1.02	0.25	9.64	2.03	0.76	2.03	0.76	0	0.51	0.25	1.27	1.27	0	0	0	12.94	0	0.25	5.33	7.11	0.25	2.54	17.77	0.51	12.69	0.76	8.63	3.81	0	0	0.51	0	0	0	0.51	0	0.25	0.25	0	0	21.57	0	12.18	0	0	0.25	0.25	0	0	8.88	0	0
"Jason Derulo, Everything is 4, X2CU.txt"	1	591	10.49	70.02	77.59	88.7	591	8.46	95.94	59.56	27.75	22.67	12.86	0.85	6.26	2.37	0.34	4.74	3.05	10.32	5.25	9.48	5.92	3.05	24.37	6.26	2.37	1.02	0.17	0.17	6.77	5.25	1.52	0	1.18	0	16.92	0.68	0.17	0.85	1.86	9.81	0.68	1.35	3.72	1.18	1.35	2.54	6.94	4.4	2.2	0.34	3.38	1.86	0.17	1.18	0.17	6.26	1.02	1.18	3.05	2.54	0.17	7.11	14.55	4.23	15.57	3.38	6.26	8.63	1.86	0.68	0	2.03	0.34	0	6.09	0.34	1.18	0.85	0.68	0	13.54	0	10.49	0	0	0	0	0	0	3.05	0	0
"Jess Glynne, I Cry When I Laugh, Hold My Hand.txt"	1	360	1	18.71	98.69	94.19	51.43	7.78	94.44	58.61	30.56	24.72	17.22	0	6.94	0	0.56	5.83	1.67	8.06	16.67	5	4.17	8.06	24.72	2.78	0.28	1.11	0	1.67	7.78	6.11	1.67	0.28	0	1.39	11.39	0	1.67	0	0	13.06	1.94	2.5	3.33	0	3.33	1.94	4.17	1.11	0	3.33	3.89	3.89	0	0	0	2.5	0	0.28	0.83	0.56	0.83	1.11	18.61	5.83	16.67	6.67	4.44	5	0	0.28	0.28	0	0.28	0	5.56	0	0.56	0.56	1.94	0	25	0	8.33	0	0	1.67	0	0	0	15	0	0
"Jess Glynne, I Cry When I Laugh, Saddest Vanilla (feat. Emelis SandÌ©).txt"	1	320	5.07	52.5	90.16	1.42	320	15.94	90.94	57.5	28.75	23.44	15.62	0.62	7.19	0	0	5.31	6.56	5.94	13.44	5	6.25	2.5	26.88	8.12	4.69	0	0	0.62	13.12	5	8.12	0	1.25	6.56	12.5	0	0	0	0	7.5	0.62	0.62	2.19	0.94	2.5	0.94	4.69	1.56	0	1.56	6.25	1.88	0.31	0.31	3.44	2.81	0.94	0.31	0.94	0.94	0.31	8.44	13.75	1.88	13.75	2.81	4.06	6.88	0	0.31	0	0.62	0.62	0	3.12	0.62	0	1.25	0	0	14.06	0	4.06	0	0	0	0	0.62	0	9.38	0	0
"Jessie J, Sweet Talker (Deluxe Version), Bang Bang.txt"	1	559	40.71	97.81	42.44	35.12	186.33	4.11	82.83	52.77	23.97	17.71	5.19	0.54	10.55	1.07	0.36	6.26	7.16	10.02	8.94	3.76	3.58	0.72	20.21	0.72	0.54	0.72	0	1.43	2.33	1.43	0.89	0	0.18	0.18	16.46	0.36	0.18	1.79	0.36	8.59	1.61	0.54	3.22	1.07	1.43	1.43	2.33	1.25	0.89	0.18	1.25	1.25	0	0	0	5.9	0.72	0.54	1.79	3.04	0.54	1.61	14.85	1.61	15.92	2.5	6.26	8.23	0.54	0.72	0.89	0	0	0	8.77	0	6.08	1.97	1.79	0	17.17	0.18	10.38	0	0	0.18	0	0.18	0	6.26	0	0
"Jessie J, Sweet Talker (Deluxe Version), Your Loss I'm Found.txt"	1	232	1	75.49	99	58.39	23.2	3.45	96.12	63.36	27.16	23.71	13.36	0.43	9.91	0	0	3.45	0	9.48	17.24	11.64	6.03	4.74	27.16	2.59	0	6.47	1.29	0.86	7.76	4.74	3.02	0.43	0.43	1.72	16.81	0	1.29	0	0	13.36	4.31	3.88	0.43	2.59	0.86	2.16	4.74	3.45	0.43	0.86	3.45	0.43	0	1.29	0	10.78	3.45	3.02	3.45	0	2.59	5.17	20.26	3.02	15.95	3.02	6.03	7.33	0	0.43	0	0	0	0	3.02	0	0	1.72	1.29	0	18.53	0	4.74	0	0	3.88	0	0	1.72	8.19	0	0
"John Legend, Love In The Future (Special Edition), All Of Me.txt"	1	343	4.47	91.46	93.98	82.99	171.5	9.33	94.75	58.6	34.4	32.36	18.08	0.29	13.99	0	0	2.04	0.58	11.95	9.91	3.79	7.29	1.46	18.08	3.79	0.29	2.33	0	9.04	8.45	5.54	2.33	0.29	0	1.17	20.99	0	0	0	0	14.58	0.58	2.04	0.29	0.29	9.33	2.04	2.62	0.87	0.58	0.29	4.37	1.75	0.29	0	0.58	7.29	2.04	1.75	2.33	2.04	1.75	0.58	16.62	1.46	9.91	0.58	5.54	3.79	0	0.58	0	0	0	0	2.04	0	0	0.29	1.75	0	16.03	0	4.37	0	0	0.29	0	0	0	11.37	0	0
"John Legend, Love In The Future (Special Edition), Ordinary People - Live.txt"	1	288	8.27	99	88.24	38.09	288	6.94	95.83	50	29.17	16.67	2.43	11.81	2.43	0	0	12.5	2.08	6.6	7.64	4.86	4.17	2.78	25	7.29	1.39	1.04	0.69	0.69	4.86	2.78	2.08	0.35	0.69	0.35	20.14	0.69	0	0.35	0	11.81	2.78	2.08	2.08	2.43	0.69	2.08	1.04	0	0	1.04	2.43	0.35	0.35	0	0	23.96	14.24	1.04	0.69	8.33	0	1.74	18.4	4.17	22.92	10.42	6.6	13.19	0.35	0.69	0.35	0	0.69	0	5.56	0.35	0	0	5.21	0	12.5	0	2.78	0	0	0	0	0	0	9.72	0	0
"Justin Bieber, Purpose (Deluxe), All In It.txt"	1	420	38.02	72.41	46.51	66.34	140	8.57	89.05	57.14	21.43	11.67	4.05	0	6.67	0.95	0	9.76	5.24	14.29	11.67	3.1	4.52	3.57	20.24	5	3.1	0.48	1.43	8.33	3.81	2.86	0.71	0	0	0.71	9.52	0	0	0	0.95	15.24	2.38	1.19	2.14	2.14	7.38	2.62	1.9	0.24	0.48	1.19	1.9	0	0	0.48	0.95	5.24	0.48	0.48	1.19	3.57	0	3.33	14.52	1.9	14.52	2.38	8.81	3.81	0	1.19	0	0	0.24	0	2.38	0	1.67	0.48	0	0.24	21.43	0.24	7.86	0	0	0.24	0	0	0	13.1	0	0
"Justin Bieber, Purpose (Deluxe), What Do You Mean?.txt"	1	449	4.47	99	80.03	37.6	16.63	3.34	98	57.68	26.95	19.82	3.56	1.34	14.92	0	0	7.13	1.11	8.69	13.14	4.45	6.9	2.67	31.18	7.57	1.11	8.46	0.89	1.11	2.9	1.78	1.11	0.45	0.45	0	22.27	0.67	0	0	0	18.04	6.9	1.78	4.45	1.34	0.89	3.34	2	0	2	0	1.56	1.11	0	0	0	6.68	2	2.67	2.45	1.11	0	1.56	27.62	3.56	16.7	4.23	6.01	8.24	0	0.89	0	0	0.22	0	12.25	0	0	2	7.13	0	12.03	0	1.11	0	0	6.01	0	0	0	4.9	0	0
"Kygo, Cloud Nine, Firestone.txt"	1	219	37.09	99	90.21	88.03	219	5.94	89.5	55.71	21	21	2.74	11.42	1.37	0	5.48	0	8.68	10.5	8.22	5.94	8.68	0.46	13.24	1.37	2.28	4.11	0	0	3.65	3.65	0	0	0	0	21.46	0	0	0	0	8.68	2.74	2.28	0.91	0.46	0.46	2.28	8.22	4.57	0	3.65	5.94	3.65	0	0	0	21	14.61	0	4.57	1.83	0	0	10.5	3.2	21.92	3.2	13.24	5.48	0	0.46	0	0	0	0	3.65	0	3.65	0	0	0	10.5	0	7.31	0	0	0	0	0	0	3.2	0	0
"Kygo, Cloud Nine, Not Alone.txt"	1	253	1	59.37	97.5	1	253	2.37	98.02	64.03	28.06	26.48	7.51	0	18.97	0	0	1.58	4.35	5.53	23.32	6.32	3.16	15.02	28.85	13.44	0	1.19	1.58	0	13.83	0.4	13.44	0	0	13.44	18.97	0	0	0	0	17	1.19	0	1.98	0	0.79	13.04	3.16	3.16	0	0	0.4	0.4	0	0	0	2.37	0	1.58	0	0.79	0	1.19	24.51	4.74	13.04	1.58	3.95	7.51	0	0.4	0	0	0	0	6.72	0	0	0	5.14	0	28.85	0	9.49	0	0	0	0	0	0	19.37	0	0
"Lilly Wood And The Prick, Invincible Friends (Edition Robin Schulz Remix), Hymn To My Invisible Friend.txt"	1	216	23.63	95.64	72.22	5.77	27	8.8	92.59	55.56	23.15	18.98	9.26	0	8.8	0.93	0	4.17	3.7	12.04	9.72	5.09	6.02	2.31	20.83	5.09	2.78	0.93	0.46	0.93	6.48	2.31	4.17	0.93	1.85	0.93	22.22	0	1.85	0	1.39	9.72	2.78	2.31	0.93	2.31	1.39	2.31	7.87	5.09	1.39	0.93	2.31	0.93	0	0.46	0.46	7.41	3.24	0	3.24	0.93	0	0.46	17.13	0.46	12.04	0.46	8.33	2.78	0.46	0.93	0	0	0	0	5.09	0	0	0	0	0	12.5	0	5.56	0	0	3.24	0	0	0	3.7	0	0
"Lilly Wood And The Prick, Invincible Friends (Edition Robin Schulz Remix), Prayer In C - Robin Schulz Remix (Radio Edit).txt"	1	290	1	92.61	80.72	85.87	290	11.03	93.1	57.24	20	20	6.21	2.76	9.66	0	1.38	0	2.07	0.69	22.76	4.83	6.21	13.1	35.17	3.45	2.76	2.76	0	2.76	4.83	4.14	0.69	0	0.69	0	24.14	0	0	0	0.69	19.31	11.03	0	4.14	0	1.38	2.76	5.52	2.76	2.07	0.69	2.07	0.69	0.69	0	0.69	5.52	2.76	0	2.07	0.69	0	3.45	23.45	4.14	10.34	2.76	2.07	6.9	0	0	0.69	0	0	1.38	3.45	0	0	2.76	0	0	12.41	0	3.45	0	0	0	0	0	0	8.97	0	0
"MAGIC!, Don't Kill The Magic, Little Girl Big World.txt"	1	367	8.74	89.98	55.28	21.58	183.5	4.9	96.73	62.13	20.44	10.08	3	0	6.81	0	0.27	10.35	6.81	6.54	26.7	2.18	1.91	1.63	31.61	6.81	0.27	0.82	0.54	1.63	0.82	0.27	0.54	0	0.27	0	12.53	0.82	0.27	3.27	0.54	8.45	1.36	1.63	1.91	1.36	1.63	1.91	0.82	0.27	0.27	0.27	2.72	0.54	1.63	0	0.54	10.9	0.82	1.91	8.99	0.82	0.27	1.36	19.62	0.27	17.44	0.54	15.8	1.09	0.54	0.54	1.09	0.54	0.27	0	4.09	0	0	0	3.27	0.82	22.89	0	17.44	0	0	0.27	0	0.54	0	4.63	0	0
"MAGIC!, Don't Kill The Magic, Rude.txt"	1	392	4.94	98.33	34.58	9.9	28	4.08	95.15	56.38	24.49	20.41	8.42	1.28	8.42	2.3	0	4.08	3.83	6.63	10.97	9.44	5.1	4.08	24.49	4.08	0.51	3.57	0	0.51	6.63	2.3	3.57	0	3.57	0	25.77	5.36	0.77	5.36	0.51	11.99	3.57	4.08	0.77	1.79	1.02	1.53	3.32	0	3.06	0.26	2.04	0.51	1.02	0	0	9.18	7.14	0.26	0.26	2.04	0	0.51	18.88	5.87	8.16	2.55	2.81	2.81	0	0.77	1.28	0	1.02	0.77	7.14	0	3.57	2.04	0	1.53	16.33	0	3.57	0	0	3.32	0.26	0.26	0.26	8.67	0	0
"Major Lazer, Peace Is The Mission (Extended), Lean On (feat. MÌ÷ & DJ Snake).txt"	1	278	92.11	98.25	5.04	98.64	55.6	6.83	81.65	54.32	15.11	9.35	0.36	7.91	1.08	0	0	5.76	11.15	16.55	8.63	2.52	1.8	0.36	16.55	1.8	0.72	1.08	0	4.32	6.47	6.12	0.36	0	0	0.36	14.03	0	0	0	0	16.91	0.72	0	6.12	5.04	3.96	1.08	4.68	0	0	4.68	0	0	0	0	0	14.03	12.23	0	1.08	0.72	0	2.16	11.87	1.08	15.11	2.16	10.43	2.52	0	0	0.36	0	0	0	0	0	0	0	0	0	7.55	0	6.12	0	0	1.44	0	0	0	0	0	0
