Filename	Segment	WC	Analytic	Clout	Authentic	Tone	WPS	Sixltr	Dic	function	pronoun	ppron	i	we	you	shehe	they	ipron	article	prep	auxverb	adverb	conj	negate	verb	adj	compare	interrog	number	quant	affect	posemo	negemo	anx	anger	sad	social	family	friend	female	male	cogproc	insight	cause	discrep	tentat	certain	differ	percept	see	hear	feel	bio	body	health	sexual	ingest	drives	affiliation	achieve	power	reward	risk	focuspast	focuspresent	focusfuture	relativ	motion	space	time	work	leisure	home	money	relig	death	informal	swear	netspeak	assent	nonflu	filler	AllPunc	Period	Comma	Colon	SemiC	QMark	Exclam	Dash	Quote	Apostro	Parenth	OtherP
"Calvin Harris, Motion, Outside.txt"	1	242	4.82	77.15	99	57.02	80.67	9.5	97.52	78.51	33.88	22.31	12.81	2.89	6.61	0	0	11.57	5.79	19.01	19.01	11.57	2.48	1.65	26.03	0.83	2.89	5.79	0	0.83	1.65	1.65	0	0	0	0	13.22	0	0.41	0	0	9.5	3.72	0.83	0.41	0	4.13	0.83	7.02	4.13	0	2.89	0.83	0.41	0	0.41	0	5.79	3.31	0	2.07	0.41	0	3.72	22.73	4.96	25.62	0.83	15.7	9.5	0	0	0	0	0	0	0.83	0	0.83	0	0	0	13.64	0	1.24	0	0	0.83	0	0	0	11.57	0	0
"Carly Rae Jepsen, E-Mo-Tion (Deluxe), Black Heart.txt"	1	260	37.39	95.45	98.79	39.52	260	13.85	90.38	55.77	23.46	19.62	7.31	0	12.31	0	0	3.85	9.23	11.15	12.31	6.92	0.38	2.31	25.77	3.85	3.85	2.31	0	0.38	3.08	1.92	1.15	0	0	0.77	14.62	0	0	0	0	9.62	3.08	1.15	1.92	0	3.08	0.38	4.62	4.62	0	0	5	4.23	0	0	0	3.85	0.77	0	2.31	0.38	0.38	1.54	17.69	5	25.77	3.46	14.23	8.08	0	0.77	0	0	0	0	1.15	0	0.38	0	0.77	0	17.69	0	7.69	0	0	0	0	0	0	10	0	0
"Carly Rae Jepsen, E-Mo-Tion (Deluxe), I Really Like You.txt"	1	486	1	41.86	94.61	36.64	11.57	4.12	98.56	74.28	31.89	28.19	15.23	1.23	11.52	0	0.21	3.7	1.03	9.67	9.47	19.75	5.97	0.62	24.9	0.82	3.09	1.44	0	0.82	1.03	0.82	0.21	0	0	0.21	16.67	0.21	0.21	0	0.21	28.4	1.23	0.82	9.47	1.44	0.41	15.64	3.5	0.62	1.03	1.23	2.26	1.44	0	0	0.41	2.88	1.65	0	0.21	0.82	0.21	1.23	20.37	1.03	8.02	1.23	4.53	2.47	0	0.82	0.21	0	0	0.21	2.47	0	0	1.23	0.82	0	14.81	2.26	3.09	0	0	5.97	0.41	0	0	3.09	0	0
"Charlie Puth, Nine Track Mind, As You Are (feat. Shy Carter).txt"	1	376	1	95.29	88.45	85.97	188	5.32	96.81	68.35	33.78	29.79	15.16	0.53	13.83	0	0.27	3.72	2.39	6.12	21.54	6.65	4.52	3.72	27.39	2.39	2.66	1.6	1.06	1.06	5.59	4.52	1.06	0	0.27	0.53	21.54	2.13	0.8	0.27	0	15.96	2.13	1.86	4.26	0.53	6.91	0.27	1.06	0.27	0.27	0.53	4.26	1.33	0	0	0	10.9	3.99	1.86	3.72	1.86	0.27	2.39	15.43	4.26	14.89	2.13	3.19	9.31	0	0.27	0	0	0.27	0	0.8	0	0	0	0.53	0	15.43	0	9.57	0	0	0.27	0	0	0	5.32	0.27	0
"Charlie Puth, Nine Track Mind, Marvin Gaye (feat. Meghan Trainor).txt"	1	333	45.11	92.94	42.2	42.09	333	4.5	88.59	60.96	27.03	17.12	6.61	3.9	4.5	0	2.1	9.91	6.31	17.12	5.71	3.9	7.51	1.5	22.82	2.1	3.9	0.3	0.3	0.3	5.11	3	2.1	0	0	0.3	16.22	0.3	0.6	0	0.3	3.9	0.3	0	1.8	0	0.3	1.8	5.71	0.9	4.8	0	2.4	0.9	1.2	0	0	12.91	5.11	0	0.9	5.71	1.2	2.4	17.12	0	12.91	1.5	9.01	2.4	0	2.1	0.3	0	1.2	0	1.5	0	0.3	0.6	0	0.6	11.71	0	3.9	0	0	0	0	0	0	7.81	0	0
"Chris Brown, Fan Of A Fan The Album (Deluxe Version), Ayo.txt"	1	607	52.09	38.96	26.87	1	303.5	8.9	83.53	47.94	21.58	18.78	9.23	2.14	3.13	4.28	0	2.8	4.78	12.85	6.43	4.28	2.8	2.31	16.64	3.79	6.26	0.82	0.49	2.14	6.26	0.82	5.44	0.82	3.46	0.16	12.03	0.33	0.99	4.61	0.16	7.74	0.49	1.15	3.13	0.82	0.99	1.98	3.13	0.99	1.15	0.33	5.44	2.8	0.33	1.98	0.49	9.39	3.29	1.15	3.29	2.8	0.16	2.47	13.34	2.31	13.01	2.97	8.4	1.81	0.49	1.15	0.66	0.99	0	0	10.05	6.59	1.65	1.15	0.82	0	15.65	0.16	7.25	0	0	0	0.33	0.16	0.66	7.08	0	0
"Chris Brown, Fan Of A Fan The Album (Deluxe Version), It's Yo Shit.txt"	1	213	11.81	48.12	60.11	42.83	213	8.92	84.51	56.34	18.78	15.96	7.98	3.29	4.69	0	0	2.82	4.23	11.27	14.08	7.51	7.51	4.69	20.19	4.69	3.76	1.41	1.41	1.41	2.35	1.41	0.47	0.47	0	0	9.39	0	0	0	0	10.33	0.94	0.94	4.23	1.41	1.41	5.16	2.82	0.47	2.35	0	0.94	0.94	0	0	0	6.1	3.76	0.47	0.94	1.41	0	0.94	15.49	0.47	12.68	1.41	8.45	2.82	0	2.82	0	0	0.47	0	5.16	0	0	3.76	0.94	0.47	36.62	0	10.33	2.35	0	0	0	5.63	0	8.92	0	9.39
"Clean Bandit, New Eyes, Rather Be (feat. Jess Glynne).txt"	1	393	1	4.44	64.04	25.77	393	5.85	93.38	69.72	19.85	16.54	9.41	2.29	4.83	0	0	3.31	4.58	8.91	17.3	7.89	6.11	16.28	23.41	3.05	2.54	1.27	0.25	1.78	2.04	0.76	0.76	0.76	0	0	8.65	0	0	0	0	12.72	1.02	1.02	5.85	1.78	1.53	7.12	0.76	0.76	0	0	1.02	1.02	0	0	0	5.09	2.54	0.25	0.76	1.78	0	1.02	17.3	0.76	11.45	1.53	7.89	2.04	0	0.25	0	0	0.25	0	3.31	0	0	2.04	1.27	0	31.3	0	19.59	0	0	0	0	2.04	0	9.67	0	0
"Clean Bandit, New Eyes, Up Again (feat. Rae Morris).txt"	1	390	15.66	26.07	99	12.25	390	10	97.95	67.44	23.08	13.85	11.03	0.51	2.31	0	0	8.46	7.44	12.56	15.13	12.82	2.31	1.28	24.1	2.56	0.77	0	1.54	0	4.1	1.54	2.56	0	0.51	0.51	5.38	0	0	0	0	14.87	3.85	1.54	2.05	4.62	2.56	2.31	2.31	0.77	1.54	0	4.87	2.31	1.54	0	0.51	8.46	1.03	1.03	4.36	1.79	0.26	4.87	15.38	3.33	21.54	1.79	13.85	6.67	0	1.28	0	0.51	0	0	0.51	0	0.26	0	0	0	10.77	0	3.85	0	0	0	0	0	0	6.92	0	0
"Coldplay, Ghost Stories, A Sky Full of Stars.txt"	1	154	43.68	83.5	98.67	90.27	154	1.95	92.86	51.95	24.03	23.38	11.04	0	12.34	0	0	0.65	10.39	9.09	11.69	1.3	2.6	2.6	23.38	5.19	1.3	0	0	0.65	3.9	3.9	0	0	0	0	13.64	0	0	0	0	13.64	1.95	8.44	1.95	1.3	0	2.6	4.55	4.55	0	0	1.95	1.95	0	0	0	1.95	0	0	0.65	1.3	0	0.65	21.43	1.95	20.78	2.6	18.18	0	0	0	0	0	1.3	0.65	1.95	0	1.3	0	0	0	24.68	0	6.49	0	0	0	0	0	0	18.18	0	0
