Artist,Song,Album,Popular
Robin Schulz,This Is Your Life,Sugar,0
Sam Smith,Stay With Me,In The Lonely Hour,1
Sam Smith,Good Thing,In The Lonely Hour,0
Selena Gomez,Good For You,Revival (Deluxe),1
Selena Gomez,Rise,Revival (Deluxe),0
Shawn Mendes,Stitches,Handwritten,1
Shawn Mendes,I Don't Even Know Your Name,Handwritten,0
Sheppard,Geronimo,Bombs Away,1
Sheppard,Halfway To Hell,Bombs Away,0
Sia,Elastic Heart,1000 Forms Of Fear (Deluxe Version),1
Sia,Big Girls Cry - Bleachers Remix,1000 Forms Of Fear (Deluxe Version),0
Skrillex,Where Are U Now,Skrillex and Diplo present Jack ,1
Skrillex,Don't Do Drugs Just Take Some Jack U,Skrillex and Diplo present Jack ,0
The Weeknd,Can't Feel My Face,Beauty Behind The Madness,1
The Weeknd,As You Are,Beauty Behind The Madness,0
Tove Lo,Talking Body,Queen Of The Clouds (Blueprint Edition),1
Tove Lo,Crave,Queen Of The Clouds (Blueprint Edition),0
Vance Joy,Riptide,Dream Your Life Away (Special Edition),1
Vance Joy,Straight Into Your Arms,Dream Your Life Away (Special Edition),0
WALK THE MOON,Shut Up and Dance,Talking Is Hard,1
WALK THE MOON,Come Under The Covers,Talking Is Hard,0
Years & Years,King,Communion (Deluxe),1
Years & Years,1977,Communion (Deluxe),0
Zedd,I Want You To Know,True Colors,1
Zedd,Bumble Bee,True Colors,0
